Clé;Date mutation;Nature mutation;Valeur fonciere
2978;21/02/2020;Vente;122000
2979;25/02/2020;Vente;92000
2980;26/02/2020;Vente;215000
2981;28/02/2020;Vente;89000
2982;02/03/2020;Vente;149000
2983;26/02/2020;Vente;95500
2984;12/02/2020;Vente;18000
2985;12/02/2020;Vente;229000
2986;18/02/2020;Vente;311000
2987;25/02/2020;Vente;170000
2988;02/03/2020;Vente;106512
2989;09/03/2020;Vente;585000
2990;20/02/2020;Vente;142500
2991;13/02/2020;Vente;90000
2992;02/03/2020;Vente;100000
2993;02/03/2020;Vente;55000
2994;05/03/2020;Vente;137000
2995;03/03/2020;Vente;219000
2996;06/03/2020;Vente;180000
2997;12/03/2020;Vente;625000
2998;13/03/2020;Vente;155000
2999;03/03/2020;Vente;175000
3000;06/03/2020;Vente;140600
3001;03/03/2020;Vente;54000
3002;26/02/2020;Vente;140000
3003;09/03/2020;Vente;384000
3004;04/03/2020;Vente;295000
3005;17/03/2020;Vente;146110
3006;10/03/2020;Vente;209000
3007;08/04/2020;Vente;171000
3008;09/04/2020;Vente;245000
3009;10/04/2020;Vente;65000
3010;24/04/2020;Vente;30000
3011;05/05/2020;Vente;106000
3012;29/04/2020;Vente;230000
3013;11/05/2020;Vente;192000
3014;06/05/2020;Vente;205000
3015;27/02/2020;Vente;265000
3016;03/01/2020;Vente;70000
3019;07/01/2020;Vente;159000
3020;07/01/2020;Vente;87000
3023;09/01/2020;Vente;101250
3024;10/01/2020;Vente;121000
3025;08/01/2020;Vente;223400
3028;06/01/2020;Vente;298000
3029;07/01/2020;Vente;361000
3031;09/01/2020;Vente;90500
3034;07/01/2020;Vente;162000
3035;13/01/2020;Vente;167000
3036;13/01/2020;Vente;229400
3037;17/01/2020;Vente;112000
3042;07/01/2020;Vente;218000
3044;23/01/2020;Vente;74000
3045;07/01/2020;Vente;88000
3048;08/01/2020;Vente;242000
3049;02/01/2020;Vente;298100
3052;27/01/2020;Vente;142000
3054;28/01/2020;Vente;649000
3057;15/01/2020;Vente;173300
3060;13/01/2020;Vente;194000
3064;17/01/2020;Vente;198000
3065;17/01/2020;Vente;111800
3066;22/01/2020;Vente;57000
3067;15/01/2020;Vente;255000
3068;13/01/2020;Vente;144320
3070;15/01/2020;Vente;194500
3071;23/01/2020;Vente;133000
3073;24/01/2020;Vente;526100
3074;23/01/2020;Vente;210500
3076;14/01/2020;Vente;143000
3078;20/01/2020;Vente;175000
3079;06/01/2020;Vente;91000
3081;13/01/2020;Vente;288650
3082;15/01/2020;Vente;177500
3085;24/01/2020;Vente;260000
3086;20/01/2020;Vente;472450
3088;13/01/2020;Vente;370000
3090;27/01/2020;Vente;93350
3091;31/01/2020;Vente;146750
3092;03/02/2020;Vente;106000
3098;27/01/2020;Vente;123000
3099;27/01/2020;Vente;102000
3100;28/01/2020;Vente;127000
3101;03/02/2020;Vente;214200
3102;04/02/2020;Vente;184000
3103;29/01/2020;Vente;137500
3105;07/02/2020;Vente;201000
3109;20/01/2020;Vente;148000
3110;23/01/2020;Vente;102500
3112;24/01/2020;Vente;135000
3115;07/02/2020;Vente;123700
3122;06/02/2020;Vente;150000
3125;27/01/2020;Vente;154225
3126;20/01/2020;Vente;365000
3130;27/01/2020;Vente;262000
3131;31/01/2020;Vente;560000
3132;12/02/2020;Vente;71000
3139;14/02/2020;Vente;275000
3146;04/02/2020;Vente;178000
3150;14/02/2020;Vente;446700
3151;11/02/2020;Vente;302000
3152;06/02/2020;Vente;340000
3153;14/02/2020;Vente;101000
3154;07/02/2020;Vente;86000
3155;17/02/2020;Vente;200000
3157;17/02/2020;Vente;263000
3158;17/02/2020;Vente;234000
3159;21/02/2020;Vente;139000
3160;13/02/2020;Vente;265000
3161;12/02/2020;Vente;153000
3162;13/02/2020;Vente;196700
3163;10/02/2020;Vente;220000
3164;18/02/2020;Vente;132050
3165;14/02/2020;Vente;219000
3166;06/02/2020;Vente;306600
3168;14/02/2020;Vente;362200
3171;12/02/2020;Vente;152000
3173;18/02/2020;Vente;134000
3175;14/02/2020;Vente;305000
3177;28/02/2020;Vente;324000
3178;21/02/2020;Vente;125000
3181;20/02/2020;Vente;99000
3182;17/02/2020;Vente;256500
3183;26/02/2020;Vente;105000
3184;26/02/2020;Vente;257000
3185;11/02/2020;Vente;118000
3189;14/02/2020;Vente;55990
3190;12/02/2020;Vente;132000
3195;14/02/2020;Vente;320400
3199;26/02/2020;Vente;92000
3200;26/02/2020;Vente;284500
3201;20/02/2020;Vente;135000
3205;27/02/2020;Vente;109000
3209;21/02/2020;Vente;385000
3210;28/02/2020;Vente;118500
3211;05/03/2020;Vente;103000
3216;18/02/2020;Vente;78000
3219;03/03/2020;Vente;190000
3220;05/03/2020;Vente;159000
3221;03/03/2020;Vente;122000
3222;06/03/2020;Vente;139100
3224;02/03/2020;Vente;145000
3225;05/03/2020;Vente;70000
