ID_Adrese;ID_VF;No voie;Type de voie;Voie;Code postal;Commune
567;2790;3;QUAI;RIVE NEUVE;13001;MARSEILLE 1ER
568;2791;93;BD;LONGCHAMP;13001;MARSEILLE 1ER
569;2792;2;RUE;JEAN FRANCOIS LECA;13002;MARSEILLE 2EME
570;2793;5003;RES;MARITIME;13015;MARSEILLE 15EME
571;2794;9;RUE;BIR HAKEIM;13001;MARSEILLE 1ER
572;2795;5001;;LES ROSIERS;13014;MARSEILLE 14EME
573;2796;9;RUE;JEAN CRISTOFOL;13003;MARSEILLE 3EME
574;2797;41;RUE;D ISOARD;13001;MARSEILLE 1ER
575;2798;47;RUE;DE LA REPUBLIQUE;13002;MARSEILLE 2EME
576;2799;5;BD;VIALA;13015;MARSEILLE 15EME
577;2800;31;BD;PHILIPPON;13004;MARSEILLE 4EME
578;2801;16;RUE;BEAUMONT;13001;MARSEILLE 1ER
579;2802;39;BD;KRAEMER;13014;MARSEILLE 14EME
580;2803;34;BD;PARDIGON;13004;MARSEILLE 4EME
581;2804;21;RUE;ORAN;13004;MARSEILLE 4EME
582;2805;9;RUE;JEAN CRISTOFOL;13003;MARSEILLE 3EME
583;2806;19;AV;DES CHARTREUX;13004;MARSEILLE 4EME
584;2807;57;RUE;DU COQ;13001;MARSEILLE 1ER
585;2808;5001;CITE;BEAUSOLEIL B ROUX PR;13004;MARSEILLE 4EME
586;2809;79;BD;DE LA MEDITERRANEE;13015;MARSEILLE 15EME
587;2810;7;RUE;PUJOL;13004;MARSEILLE 4EME
588;2811;11;BD;SAKAKINI;13004;MARSEILLE 4EME
589;2812;257;BD;CHAVE;13004;MARSEILLE 4EME
590;2813;60;BD;JARDIN ZOOLOGIQUE;13004;MARSEILLE 4EME
591;2814;16;BD;PARDIGON;13004;MARSEILLE 4EME
592;2815;20;BD;JEAN BAPTISTE IVALDI;13004;MARSEILLE 4EME
593;2816;19;BD;DAUZAC;13004;MARSEILLE 4EME
594;2817;34;RUE;DU PETIT PUITS;13002;MARSEILLE 2EME
595;2818;28;RUE;ADOLPHE THIERS;13001;MARSEILLE 1ER
596;2819;51;RUE;DU PANIER;13002;MARSEILLE 2EME
597;2820;47;CR;DE FONTAINIEU;13014;MARSEILLE 14EME
598;2821;6;CHE;DE BIZET;13016;MARSEILLE 16EME
599;2822;37;AV;DU MERLAN;13014;MARSEILLE 14EME
600;2823;20;RUE;DE LA CATHEDRALE;13002;MARSEILLE 2EME
601;2824;7;RUE;RICARD;13003;MARSEILLE 3EME
602;2825;58;RUE;DE CRIMEE;13003;MARSEILLE 3EME
603;2826;22;VC;SQ  NATIONAL;13003;MARSEILLE 3EME
604;2827;5001;RUE;DE MISSIRI;13013;MARSEILLE 14EME
605;2828;6;RUE;BERNEX;13001;MARSEILLE 1ER
606;2829;5006;RES;VAL PINS;13015;MARSEILLE 15EME
